is_real_prediction,real_probability,fake_probability,confidence,model_predictions,image_path,actual_label,actual_is_real
True,0.58,0.07000000000000002,0.58,"{'clip': {'all_similarities': [('a real photograph', 0.6720349788665771), ('an AI-generated image', 0.32796502113342285)], 'real_score': 0.6720349788665771, 'fake_score': 0.32796502113342285, 'is_real_prediction': True, 'confidence': 0.6720349788665771, 'image_path': '/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/real/real_025.jpg', 'actual_label': 'real', 'actual_is_real': 1}, 'cv': {'image_path': '/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/real/real_025.jpg', 'actual_label': 'real', 'actual_is_real': 1, 'real_probability': 0.7, 'fake_probability': 0.3, 'is_real_prediction': True, 'confidence': 0.7}, 'gpt4o': {'is_real': True, 'confidence': 0.95, 'key_observations': ['Consistent lighting and shadows align with the sunset', 'Realistic reflections on the car and building windows', 'Natural texture details in the asphalt and building', 'Coherent background and perspective', 'Presence of minor noise and imperfections typical in real photos'], 'reasoning': 'The image displays consistent lighting, realistic reflections, and natural textures that are difficult to replicate convincingly with AI. Additionally, the background and perspective are coherent, further supporting the real photograph classification.', 'processing_time': 7.767966985702515, 'image_path': '/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/real/real_025.jpg', 'actual_label': 'real', 'actual_is_real': 1, 'is_real_prediction': True, 'real_probability': 0.95, 'fake_probability': 0.050000000000000044}}",/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/real/real_025.jpg,real,1
True,0.58,0.07000000000000002,0.58,"{'clip': {'all_similarities': [('a real photograph', 0.7859950065612793), ('an AI-generated image', 0.2140050083398819)], 'real_score': 0.7859950065612793, 'fake_score': 0.2140050083398819, 'is_real_prediction': True, 'confidence': 0.7859950065612793, 'image_path': '/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/real/real_002.jpg', 'actual_label': 'real', 'actual_is_real': 1}, 'cv': {'image_path': '/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/real/real_002.jpg', 'actual_label': 'real', 'actual_is_real': 1, 'real_probability': 0.7, 'fake_probability': 0.3, 'is_real_prediction': True, 'confidence': 0.7}, 'gpt4o': {'is_real': True, 'confidence': 0.95, 'key_observations': ['Natural lighting and shadows', 'Consistent texture detail of the coat fabric', 'Realistic flower details', 'Background coherence with pavement', 'Natural hand positioning and details'], 'reasoning': ""The image displays consistent lighting and realistic textures. The fabric of the coat and the details of the flowers look genuine, with no visible AI artifacts. The hand looks naturally positioned and detailed, suggesting it's a real photograph."", 'processing_time': 9.368348360061646, 'image_path': '/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/real/real_002.jpg', 'actual_label': 'real', 'actual_is_real': 1, 'is_real_prediction': True, 'real_probability': 0.95, 'fake_probability': 0.050000000000000044}}",/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/real/real_002.jpg,real,1
True,0.613,0.03700000000000002,0.613,"{'clip': {'all_similarities': [('a real photograph', 0.2576552629470825), ('an AI-generated image', 0.7423447966575623)], 'real_score': 0.2576552629470825, 'fake_score': 0.7423447966575623, 'is_real_prediction': False, 'confidence': 0.7423447966575623, 'image_path': '/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/real/real_044.jpg', 'actual_label': 'real', 'actual_is_real': 1}, 'cv': {'image_path': '/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/real/real_044.jpg', 'actual_label': 'real', 'actual_is_real': 1, 'real_probability': 0.92, 'fake_probability': 0.08, 'is_real_prediction': True, 'confidence': 0.92}, 'gpt4o': {'is_real': True, 'confidence': 0.95, 'key_observations': ['Realistic texture on the wooden table and cloth', 'Consistent natural lighting and shadows', 'Detailed texture in dried plants', 'Glass reflections are coherent', 'Background depth and focus are natural'], 'reasoning': 'The image exhibits natural lighting and shadows, with realistic and consistent textures in both the foreground objects and background. The attention to details, such as the reflections on the glass bottle and the detailed structure of the dried plants, strongly suggests that this is a real photograph.', 'processing_time': 6.024425983428955, 'image_path': '/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/real/real_044.jpg', 'actual_label': 'real', 'actual_is_real': 1, 'is_real_prediction': True, 'real_probability': 0.95, 'fake_probability': 0.050000000000000044}}",/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/real/real_044.jpg,real,1
True,0.625,0.02500000000000001,0.625,"{'clip': {'all_similarities': [('a real photograph', 0.2252504825592041), ('an AI-generated image', 0.7747495174407959)], 'real_score': 0.2252504825592041, 'fake_score': 0.7747495174407959, 'is_real_prediction': False, 'confidence': 0.7747495174407959, 'image_path': '/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/real/real_047.jpg', 'actual_label': 'real', 'actual_is_real': 1}, 'cv': {'image_path': '/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/real/real_047.jpg', 'actual_label': 'real', 'actual_is_real': 1, 'real_probability': 0.9, 'fake_probability': 0.1, 'is_real_prediction': True, 'confidence': 0.9}, 'gpt4o': {'is_real': True, 'confidence': 0.98, 'key_observations': ['Consistent lighting and shadows on the cactus', 'Detailed texture on the cactus surface', 'Realistic imperfections and natural variations', 'Clear focus and depth of field', 'Smooth and coherent gradient in the sky'], 'reasoning': 'The image displays consistent lighting and detailed texture indicative of a real photograph. The imperfections and natural variations add to its authenticity, with realistic background and focus supporting this conclusion.', 'processing_time': 7.56972599029541, 'image_path': '/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/real/real_047.jpg', 'actual_label': 'real', 'actual_is_real': 1, 'is_real_prediction': True, 'real_probability': 0.98, 'fake_probability': 0.020000000000000018}}",/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/real/real_047.jpg,real,1
False,0.006,0.144,0.144,"{'clip': {'all_similarities': [('a real photograph', 0.2583983540534973), ('an AI-generated image', 0.7416016459465027)], 'real_score': 0.2583983540534973, 'fake_score': 0.7416016459465027, 'is_real_prediction': False, 'confidence': 0.7416016459465027, 'image_path': '/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/fake/fake_037.png', 'actual_label': 'fake', 'actual_is_real': 0}, 'cv': {'image_path': '/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/fake/fake_037.png', 'actual_label': 'fake', 'actual_is_real': 0, 'real_probability': 0.04, 'fake_probability': 0.96, 'is_real_prediction': False, 'confidence': 0.96}, 'gpt4o': {'is_real': None, 'confidence': 0.0, 'key_observations': ['API error after multiple retries'], 'reasoning': 'Error: 429 Client Error: Too Many Requests for url: https://api.openai.com/v1/chat/completions', 'processing_time': 6.9640467166900635, 'image_path': '/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/fake/fake_037.png', 'actual_label': 'fake', 'actual_is_real': 0, 'is_real_prediction': None, 'real_probability': 0.0, 'fake_probability': 0.0}}",/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/fake/fake_037.png,fake,0
False,0.08700000000000001,0.563,0.563,"{'clip': {'all_similarities': [('a real photograph', 0.2212681770324707), ('an AI-generated image', 0.7787318229675293)], 'real_score': 0.2212681770324707, 'fake_score': 0.7787318229675293, 'is_real_prediction': False, 'confidence': 0.7787318229675293, 'image_path': '/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/fake/fake_015.png', 'actual_label': 'fake', 'actual_is_real': 0}, 'cv': {'image_path': '/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/fake/fake_015.png', 'actual_label': 'fake', 'actual_is_real': 0, 'real_probability': 0.08, 'fake_probability': 0.92, 'is_real_prediction': False, 'confidence': 0.92}, 'gpt4o': {'is_real': False, 'confidence': 0.85, 'key_observations': ['Unnatural arrangement of food items', 'Inconsistent texture on sausages', 'Odd labeling on containers', 'Lighting seems overly uniform', 'Background elements appear slightly distorted'], 'reasoning': 'The image exhibits several unnatural elements such as the arrangement and texture of food items, and the uniform and flat lighting. These factors, combined with the distorted background and odd labeling suggest it is AI-generated.', 'processing_time': 10.561521053314209, 'image_path': '/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/fake/fake_015.png', 'actual_label': 'fake', 'actual_is_real': 0, 'is_real_prediction': False, 'real_probability': 0.15000000000000002, 'fake_probability': 0.85}}",/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/fake/fake_015.png,fake,0
False,0.03,0.12,0.12,"{'clip': {'all_similarities': [('a real photograph', 0.5957773923873901), ('an AI-generated image', 0.40422263741493225)], 'real_score': 0.5957773923873901, 'fake_score': 0.40422263741493225, 'is_real_prediction': True, 'confidence': 0.5957773923873901, 'image_path': '/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/fake/fake_023.png', 'actual_label': 'fake', 'actual_is_real': 0}, 'cv': {'image_path': '/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/fake/fake_023.png', 'actual_label': 'fake', 'actual_is_real': 0, 'real_probability': 0.2, 'fake_probability': 0.8, 'is_real_prediction': False, 'confidence': 0.8}, 'gpt4o': {'is_real': None, 'confidence': 0.0, 'key_observations': ['API error after multiple retries'], 'reasoning': 'Error: 429 Client Error: Too Many Requests for url: https://api.openai.com/v1/chat/completions', 'processing_time': 5.72487211227417, 'image_path': '/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/fake/fake_023.png', 'actual_label': 'fake', 'actual_is_real': 0, 'is_real_prediction': None, 'real_probability': 0.0, 'fake_probability': 0.0}}",/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/fake/fake_023.png,fake,0
True,0.10200000000000001,0.048,0.10200000000000001,"{'clip': {'all_similarities': [('a real photograph', 0.054332051426172256), ('an AI-generated image', 0.9456679224967957)], 'real_score': 0.054332051426172256, 'fake_score': 0.9456679224967957, 'is_real_prediction': False, 'confidence': 0.9456679224967957, 'image_path': '/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/real/real_011.jpg', 'actual_label': 'real', 'actual_is_real': 1}, 'cv': {'image_path': '/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/real/real_011.jpg', 'actual_label': 'real', 'actual_is_real': 1, 'real_probability': 0.68, 'fake_probability': 0.32, 'is_real_prediction': True, 'confidence': 0.68}, 'gpt4o': {'is_real': None, 'confidence': 0.0, 'key_observations': ['API error after multiple retries'], 'reasoning': 'Error: 429 Client Error: Too Many Requests for url: https://api.openai.com/v1/chat/completions', 'processing_time': 6.309651136398315, 'image_path': '/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/real/real_011.jpg', 'actual_label': 'real', 'actual_is_real': 1, 'is_real_prediction': None, 'real_probability': 0.0, 'fake_probability': 0.0}}",/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/real/real_011.jpg,real,1
False,0.10999999999999999,0.54,0.54,"{'clip': {'all_similarities': [('a real photograph', 0.028002383187413216), ('an AI-generated image', 0.9719976782798767)], 'real_score': 0.028002383187413216, 'fake_score': 0.9719976782798767, 'is_real_prediction': False, 'confidence': 0.9719976782798767, 'image_path': '/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/fake/fake_013.png', 'actual_label': 'fake', 'actual_is_real': 0}, 'cv': {'image_path': '/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/fake/fake_013.png', 'actual_label': 'fake', 'actual_is_real': 0, 'real_probability': 0.4, 'fake_probability': 0.6, 'is_real_prediction': False, 'confidence': 0.6}, 'gpt4o': {'is_real': False, 'confidence': 0.9, 'key_observations': ['Uniform and soft lighting with no variation', 'Leaves appear uniformly textured and too smooth', 'The shadow on the wall lacks realistic depth', 'Edges are too clean and crisp for a natural photograph', 'The background is overly uniform and lacks imperfections'], 'reasoning': 'The image displays characteristics typical of AI-generated images, such as uniform lighting, overly smooth textures, and clean edges. The shadow lacks complexity, and the background is too perfect for a real setting. These elements suggest it is AI-generated.', 'processing_time': 8.767992973327637, 'image_path': '/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/fake/fake_013.png', 'actual_label': 'fake', 'actual_is_real': 0, 'is_real_prediction': False, 'real_probability': 0.09999999999999998, 'fake_probability': 0.9}}",/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/fake/fake_013.png,fake,0
False,0.006,0.144,0.144,"{'clip': {'all_similarities': [('a real photograph', 0.2434530407190323), ('an AI-generated image', 0.7565469741821289)], 'real_score': 0.2434530407190323, 'fake_score': 0.7565469741821289, 'is_real_prediction': False, 'confidence': 0.7565469741821289, 'image_path': '/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/fake/fake_014.png', 'actual_label': 'fake', 'actual_is_real': 0}, 'cv': {'image_path': '/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/fake/fake_014.png', 'actual_label': 'fake', 'actual_is_real': 0, 'real_probability': 0.04, 'fake_probability': 0.96, 'is_real_prediction': False, 'confidence': 0.96}, 'gpt4o': {'is_real': None, 'confidence': 0.0, 'key_observations': ['API error after multiple retries'], 'reasoning': 'Error: 429 Client Error: Too Many Requests for url: https://api.openai.com/v1/chat/completions', 'processing_time': 5.625085115432739, 'image_path': '/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/fake/fake_014.png', 'actual_label': 'fake', 'actual_is_real': 0, 'is_real_prediction': None, 'real_probability': 0.0, 'fake_probability': 0.0}}",/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/fake/fake_014.png,fake,0
